Source,Target,Weight,Type
agnipurana_u,bhavisyapurana,4,undirected
agnipurana_u,garudapurana_khanda-1_u,23,undirected
agnipurana_u,naradapurana_khanda-1_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,7,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,17,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,7,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,16,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,4,undirected
