Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,8,undirected
agnipurana_u,lingapurana_khanda-1_u,4,undirected
agnipurana_u,sivapurana_umasamhita,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,11,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-01_u,mahabharata_04-virataparvan,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,16,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,11,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,16,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,4,undirected
bhagavatapurana_skandha-05_u,skandamahpurana_kasikhanda,24,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,24,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,11,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,17,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,24,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,8,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,16,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,11,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,8,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,4,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,24,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,4,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,pranavakalpa,24,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahpurana_kasikhanda,8,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,24,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,17,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,16,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,8,undirected
bhagavatapurana_skandha-12_u,devibhagavatapurana,5,undirected
bhagavatapurana_skandha-12_u,saurapurana,7,undirected
bhagavatapurana_skandha-12_u,visnupurana_u,12,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,brahmapurana_pu,1,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,devipurana,12,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,lingapurana_khanda-1_u,8,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,lingapurana_khanda-2_u,3,undirected
